
9090,1.00E+15,,WINGAIR Team parking,,42.0606314,21.3882505,19,30
9192,1.00E+15,,Babe,,40.9540845,20.8126591,10,30
9275,1.00E+15,,Кеј,,41.3418225,21.5508561,47,30
9281,1.00E+15,,ИЛТ,,41.3815846,21.744709,14,30
9375,1.00E+15,Скопје,Катна гаража Беко,Даме Груев,41.9933504,21.42859,605,30
9451,1.00E+15,,Веро,,41.0266523,21.3125989,35,40
120,386746863,,Паркинг МОБ,,41.9967331,21.436413,49,30
331,461661777,,Дупка,,41.4391574,22.6375464,10,30
385,851032970,,Паркинг Спортска сала,,41.9908854,21.5830972,25,30
387,889071679,,Zad Sobranie,,41.0902669,21.0119601,50,30
388,892589214,,Веро Центар,,41.9928198,21.4415512,30,40
392,960087107,,Паркинг за вработени,,42.0029173,21.450455,18,40
1445,2016294493,,Parking between the two tunnels,,41.4066817,22.2596603,15,30
2055,2367926485,,Parking Prince2,,41.9966896,20.9638886,10,40
2148,2406055982,,Глобал,,41.4397591,22.6399257,15,30
2973,3506695093,,Brooklyn Lounge Bar,,42.0045421,21.3910004,15,0
2975,3506696093,,Trend Food Bar,,42.0041936,21.3909265,15,0
3367,4018154531,,Stationnement - Source,,42.1417388,21.4403723,10,30
3552,4144098451,,Комерцијална Банка,,42.0046642,21.3909854,10,0
4191,4489456007,,"Parking of ""The House of the Miyaks""",,41.6222705,20.6072167,12,30
4563,5176232882,,Зебра,,41.9928749,21.4195536,130,40
7503,8264216970,,Стопанска Банка,,41.3437446,21.5358812,10,40
7766,8534237588,,08.12.1941,,41.3435127,21.5549177,35,30
8282,1.00E+15,,Паркинг на Рамстор,,41.9920026,21.4263229,20,0
8283,1.00E+15,,"Јп Градски Паркинг - Паркиралиште ""Градска Болница""",,41.9925527,21.435515,147,35
8286,1.00E+15,,Паркинг Зона Ц,,42.0052248,21.4180624,30,30
8288,1.00E+15,,Тетекс,,41.9975811,20.9720842,8,0
8289,1.00E+15,,Културен дом,,42.0098128,20.9734305,13,30
8294,1.00E+15,,Паркинг Зона Ц,,42.004345,21.4202443,30,30
8299,1.00E+15,,Нова Македонија,,41.9934445,21.4225891,10,40
8310,1.00E+15,,Hipodrom,,41.9968167,21.5130816,22,40
8311,1.00E+15,,Паркинг ФЕИТ,,42.0052867,21.4087487,50,40
8313,1.00E+15,,Паркинг Технолошко-металуршки факултет,,42.0045784,21.4090952,50,40
8324,1.00E+15,,ТЕРМИНАЛ,,41.9994704,21.4836809,36,30
8334,1.00E+15,,Паркинг Тинекс,,41.0229675,21.3162911,10,0
8343,1.00E+15,,Веро,,42.006815,20.97956851,27,40
8344,1.00E+15,,Пазар Тетово,,42.0077473,20.9770794,30,30
8366,1.00E+15,,Паркинг,,42.133646,21.721135,15,30
8374,1.00E+15,,Паркинг ТУШ,,42.1354012,21.7289949,15,30
8378,1.00E+15,,"Платен паркинг ""Кјуби""",,41.990128,21.4359734,28,30
8398,1.00E+15,,паркинг Кочо Рацин,,41.9916468,21.4362136,185,35
